index,value
538,1
77,0
351,1
287,0
265,1
343,1
399,1
409,1
175,0
271,1
272,1
603,1
185,1
102,0
599,1
266,1
487,1
411,1
77,0
573,1
767,0
555,0
707,1
378,1
366,0
550,1
411,1
587,0
548,1
265,1
302,0
268,1
174,0
33,0
448,0
505,0
624,1
768,0
647,0
646,0
56,0
377,1
592,0
543,1
212,1
69,0
86,0
360,0
192,1
639,0
328,1
557,0
766,0
599,1
601,0
597,1
487,1
363,0
592,0
100,1
349,1
129,0
235,0
195,0
31,0
380,1
411,1
251,0
190,0
517,1
594,0
183,1
597,1
482,1
378,0
4,0
597,0
66,0
278,0
213,0
622,0
676,0
223,0
262,1
653,1
523,0
383,1
295,1
184,1
358,0
500,0
550,0
181,1
354,1
314,0
472,0
317,1
183,0
529,0
760,0
324,1
210,1
209,1
127,1
241,1
26,0
304,0
600,0
176,0
155,1
345,1
192,0
484,0
491,1
385,1
619,0
518,1
353,1
260,0
581,0
290,1
403,0
106,0
385,0
695,0
556,1
340,0
173,0
95,0
461,0
538,1
265,1
741,0
155,1
299,1
482,1
179,0
658,1
13,0
678,0
175,0
529,0
212,1
631,1
576,1
476,0
311,0
347,1
131,0
200,0
382,1
101,0
484,1
686,1
325,1
549,1
161,0
567,0
357,0
261,1
270,1
484,1
640,0
276,1
491,1
767,0
382,1
578,1
241,1
151,0
281,0
577,1
407,1
547,1
597,1
700,0
408,1
128,1
465,1
226,0
350,0
382,1
375,1
118,0
707,0
439,0
213,1
572,1
645,0
490,0
272,1
176,0
133,1
249,0
695,0
452,0
271,1
130,0
438,1
386,0
468,1
544,0
432,1
472,0
777,0
300,0
210,1
92,0
523,1
628,1
309,0
156,1
573,1
529,0
12,0
432,1
767,0
380,1
252,0
186,0
358,0
239,0
423,0
73,0
627,1
629,1
433,1
437,1
218,0
186,1
378,1
657,1
69,0
179,1
166,0
759,0
595,1
153,1
178,0
724,0
415,0
706,0
621,1
239,0
264,1
129,1
416,0
265,1
272,1
269,1
211,0
518,1
515,0
40,0
631,1
461,1
91,0
653,0
545,1
305,0
464,1
29,0
122,0
349,1
751,0
457,1
494,1
658,1
435,1
334,0
319,0
684,1
266,1
407,1
93,0
406,1
109,0
644,0
659,0
627,1
527,0
740,1
545,1
18,0
130,1
432,1
476,0
558,0
483,0
234,1
410,1
763,0
437,1
774,0
157,1
300,1
374,1
630,1
131,1
724,0
570,1
383,1
438,1
732,0
294,1
219,0
118,0
540,0
298,1
234,1
737,0
326,1
136,0
567,0
78,0
487,1
612,0
122,0
237,1
460,1
363,0
299,1
279,0
465,1
571,1
353,1
580,0
479,0
559,0
604,1
498,0
578,1
27,0
642,0
568,0
294,1
208,0
163,0
354,1
567,1
688,0
547,0
263,1
534,0
369,0
684,1
525,0
474,0
669,0
161,1
679,0
238,0
19,0
162,1
295,1
262,1
266,1
566,1
651,1
409,1
103,0
482,0
375,0
424,0
411,1
257,1
541,1
184,1
186,1
355,1
212,1
260,0
368,0
342,0
762,0
293,1
204,1
611,1
750,0
603,1
723,0
401,1
156,1
664,1
199,0
400,0
489,1
313,1
551,0
430,1
68,0
178,1
674,0
240,0
409,1
679,0
406,1
465,1
697,0
489,1
19,0
36,0
25,0
110,0
121,0
323,1
512,1
781,0
33,0
522,0
187,1
449,0
656,1
116,0
382,1
409,1
346,1
636,1
692,0
594,0
268,1
342,1
274,1
264,1
462,1
179,1
579,0
301,0
338,0
505,0
461,1
343,1
493,1
240,1
522,1
398,0
421,0
602,1
42,0
565,0
443,0
612,0
509,1
470,1
380,1
602,1
164,1
445,0
577,1
297,1
234,0
691,0
548,1
89,0
669,0
380,1
769,0
600,1
262,0
600,1
396,0
150,1
330,0
286,0
595,1
125,0
400,1
541,1
706,0
540,1
41,0
69,0
491,1
516,1
253,0
200,0
385,1
237,1
298,1
575,0
50,0
541,0
765,0
577,1
710,0
354,1
344,1
373,1
775,0
590,0
125,0
652,0
353,1
574,1
272,1
509,1
208,1
634,0
208,1
774,0
373,1
763,0
121,0
402,1
211,1
640,0
574,1
92,0
486,1
567,0
323,1
40,0
328,1
738,0
332,0
263,1
215,1
591,0
326,1
355,0
481,1
616,0
725,0
310,0
380,1
722,0
295,0
463,0
326,1
247,0
651,1
436,1
121,0
342,1
422,0
372,1
527,0
346,0
172,0
292,1
637,0
379,1
429,1
465,1
161,1
632,1
321,1
539,1
326,1
545,0
621,0
31,0
91,0
585,0
684,1
562,0
164,1
212,0
585,0
274,0
301,1
204,0
574,1
579,1
375,1
7,0
663,0
293,1
245,1
549,1
489,1
711,0
320,1
113,0
157,1
130,1
128,1
434,1
138,0
315,1
276,0
495,1
474,0
482,1
597,0
461,1
625,1
524,1
576,1
625,0
272,0
324,1
635,0
658,1
21,0
571,1
386,0
430,1
11,0
244,1
49,0
520,1
364,0
102,0
312,0
135,0
535,0
327,1
627,1
250,0
460,0
633,1
106,0
297,1
594,0
718,0
188,0
175,0
298,1
528,0
406,1
740,0
383,1
477,0
213,1
672,0
559,0
215,0
244,1
305,0
15,0
324,1
461,1
379,1
166,0
741,0
544,1
310,0
304,1
352,1
654,1
519,1
456,1
359,0
62,0
462,1
553,0
535,0
743,0
409,1
521,1
304,0
69,0
265,1
617,0
628,0
295,1
343,0
258,0
101,1
363,0
403,1
132,0
628,1
461,1
54,0
551,1
236,1
372,1
346,1
246,0
381,1
205,1
45,0
510,0
312,0
147,0
519,1
348,1
211,1
657,1
316,0
735,0
190,0
355,1
179,0
602,1
271,1
597,1
685,1
246,0
411,1
395,0
208,1
655,1
120,0
450,0
566,1
518,1
62,0
212,1
207,1
310,0
609,0
656,1
495,1
643,0
262,1
237,1
187,1
540,1
409,1
542,1
74,0
628,1
233,1
223,0
468,1
319,0
208,1
589,0
177,0
724,0
736,0
194,0
699,0
317,1
567,0
55,0
646,0
407,1
440,0
364,0
344,1
491,1
80,0
344,1
573,0
437,1
283,0
521,0
566,0
402,1
694,0
512,1
403,1
635,0
393,0
430,1
615,0
238,1
569,1
351,0
26,0
762,0
323,1
246,1
624,1
338,0
733,0
162,0
681,1
562,0
344,1
700,0
561,0
763,0
747,0
547,1
695,0
355,1
160,0
683,0
265,0
281,0
314,1
97,0
226,0
168,0
548,0
293,1
213,1
59,0
605,1
105,0
514,0
377,1
294,1
96,0
520,1
30,0
98,0
603,1
495,1
629,1
426,1
720,0
491,1
586,0
346,1
564,1
261,1
244,0
510,0
215,1
345,1
291,1
449,0
725,0
451,0
289,1
752,0
604,0
175,1
375,1
80,0
739,0
608,1
213,1
345,1
459,1
758,0
456,1
761,0
406,1
396,0
581,0
461,1
658,0
182,1
347,0
515,1
463,1
194,0
379,1
520,1
49,0
618,0
544,1
492,1
537,1
234,1
283,0
574,1
713,0
423,0
623,1
372,1
515,1
263,1
163,0
406,1
466,0
488,1
319,1
717,1
221,0
604,1
559,0
150,1
321,1
347,1
592,1
183,1
307,0
234,0
721,0
681,1
505,0
153,1
387,1
244,1
216,1
491,1
399,1
630,1
157,1
138,0
238,1
93,1
308,0
64,0
497,1
385,0
620,0
124,1
519,1
442,1
210,1
522,0
464,1
689,1
334,0
22,0
229,0
441,1
748,0
247,0
154,0
101,1
599,1
675,0
720,0
181,1
441,1
576,1
768,0
321,0
269,0
106,0
28,0
690,0
488,1
74,0
558,0
464,1
325,1
598,1
301,1
647,0
163,0
491,1
267,1
426,1
440,1
328,1
563,1
544,1
543,1
489,1
440,1
329,1
406,1
491,1
335,0
490,1
573,1
490,1
347,1
763,0
415,0
208,1
252,0
59,0
577,1
176,0
460,0
150,0
745,0
485,0
286,0
499,0
567,1
410,1
133,0
379,1
598,0
573,1
406,1
623,1
599,1
484,1
152,0
289,1
516,1
411,0
216,0
233,1
267,1
209,0
494,1
592,0
652,1
278,0
90,0
98,1
189,0
461,1
556,0
371,0
615,0
715,0
183,1
427,1
69,0
321,1
367,0
110,0
462,1
659,1
234,0
356,1
152,0
632,1
159,1
593,0
172,0
433,1
136,0
237,1
95,0
717,1
55,0
267,1
118,0
377,1
578,0
556,0
163,1
727,0
376,1
627,1
489,0
177,1
3,0
498,0
322,0
61,0
738,0
695,0
244,0
600,0
478,0
720,0
222,0
209,1
180,1
564,0
574,1
16,0
775,0
529,0
688,0
462,1
303,0
429,1
263,1
433,1
121,0
460,1
432,1
776,0
388,0
114,0
601,1
291,1
2,0
322,1
527,0
524,0
781,0
669,0
628,1
419,0
472,0
466,1
563,0
595,1
720,0
190,0
711,0
216,1
634,0
91,0
578,1
442,1
573,1
505,0
311,0
688,1
4,0
67,0
459,1
682,1
379,1
7,0
442,0
196,0
234,1
512,0
573,1
7,0
39,0
153,0
109,0
355,0
170,0
673,0
344,1
124,1
407,1
348,1
5,0
441,0
300,1
694,0
269,1
433,1
297,1
657,0
457,1
318,1
402,0
356,0
3,0
558,0
591,0
469,0
149,1
575,1
78,0
144,0
291,1
436,1
551,1
564,0
537,1
209,0
187,0
128,1
35,0
266,1
398,1
227,0
54,0
515,1
67,0
120,0
599,1
354,1
380,1
426,0
281,0
65,0
46,0
639,0
552,0
634,1
20,0
196,0
409,1
109,0
624,1
214,0
417,0
292,1
494,0
485,1
547,0
126,0
326,1
595,1
441,0
28,0
602,1
441,1
352,1
741,0
681,0
355,1
216,1
629,1
641,0
518,1
293,0
422,0
570,1
430,1
177,0
41,0
265,1
337,0
45,0
631,1
293,1
380,1
45,0
381,0
97,0
690,0
352,1
323,0
356,1
665,0
151,1
360,0
184,1
511,0
241,1
714,0
385,0
239,0
148,0
351,0
494,1
429,1
243,1
189,1
178,0
602,1
90,0
689,1
28,0
309,0
458,1
403,1
473,0
377,1
365,0
378,1
165,1
395,0
291,1
757,0
775,0
387,0
490,1
123,0
544,0
446,0
344,1
440,1
571,0
161,0
615,0
351,1
587,0
651,0
405,1
760,0
483,1
566,0
687,1
381,1
642,0
703,0
768,0
76,1
534,0
681,1
464,1
732,0
492,1
75,0
106,0
43,0
635,0
408,1
277,0
540,0
759,0
600,0
129,1
247,0
161,0
468,1
429,1
405,1
535,0
760,0
325,1
156,1
246,0
720,0
552,0
720,0
465,1
608,1
344,1
152,0
692,0
408,1
358,0
614,0
462,1
535,0
539,1
548,1
607,0
269,0
593,1
393,0
345,1
38,0
571,1
493,0
609,0
628,0
665,0
684,0
259,0
517,1
490,1
723,0
433,1
248,0
380,1
624,0
298,1
59,0
130,1
306,0
297,1
400,0
747,0
520,1
719,0
626,1
444,0
226,0
266,1
774,0
474,0
637,1
686,0
457,1
361,0
603,1
527,0
235,1
634,0
686,1
600,1
354,1
247,0
270,1
772,0
438,1
378,0
322,1
731,0
546,1
373,1
13,0
138,0
372,0
540,1
602,1
600,1
697,0
517,1
402,1
71,0
378,1
349,1
631,0
324,1
227,0
129,1
359,1
490,1
403,0
216,0
780,0
386,0
1,0
733,0
180,1
30,0
436,1
145,0
661,1
765,0
568,1
776,0
318,0
431,1
282,0
574,1
399,1
297,1
211,1
40,0
492,1
662,0
214,1
630,1
287,1
373,1
522,1
497,1
313,0
19,0
515,1
717,0
111,0
614,0
430,1
558,0
548,0
397,0
521,1
516,1
374,1
448,0
505,0
376,1
301,1
569,1
574,1
148,0
433,1
121,0
323,1
379,1
377,1
416,0
401,1
577,0
366,0
468,1
351,1
79,0
69,1
509,0
354,1
295,1
742,0
465,1
681,0
491,1
346,1
82,0
289,1
156,1
257,0
213,1
311,0
279,0
265,0
495,1
494,1
71,0
179,1
290,1
296,1
286,0
544,1
352,1
265,1
159,1
299,1
656,1
435,1
739,0
428,1
724,0
713,1
610,0
345,1
577,1
519,0
433,1
240,1
671,0
391,0
25,0
486,1
771,0
336,0
270,1
543,1
334,0
322,1
83,0
177,1
466,1
202,1
595,1
738,0
351,1
119,0
733,0
48,0
683,1
338,0
212,1
184,1
152,1
407,1
178,1
389,0
429,1
490,0
188,1
192,0
268,0
237,1
372,1
411,0
355,1
339,0
185,1
396,0
560,0
46,0
488,1
83,0
327,1
0,0
441,0
62,0
63,0
12,0
240,1
123,1
185,0
319,1
437,1
727,0
212,1
752,0
519,1
336,0
244,1
763,0
376,1
602,1
238,1
603,1
109,0
176,1
77,0
779,0
407,1
223,0
692,0
718,0
274,1
408,1
399,1
142,0
596,0
263,1
733,0
515,0
439,1
686,1
202,1
0,0
677,0
159,0
274,0
587,0
435,1
613,0
279,0
240,1
339,0
543,1
193,0
632,1
511,0
706,0
237,1
180,0
558,0
631,1
594,1
567,0
113,0
601,1
712,1
226,0
665,1
551,1
743,1
572,1
247,1
29,0
640,0
411,1
590,0
744,0
144,0
399,1
79,0
367,0
435,1
656,1
235,1
209,1
209,1
96,0
100,0
545,1
143,0
503,0
470,1
47,0
209,1
463,1
505,0
427,0
470,1
488,1
567,1
542,0
538,1
292,0
27,0
546,1
62,0
159,1
309,0
660,0
325,1
326,1
38,0
657,1
267,0
276,0
40,0
436,1
431,1
548,1
433,0
326,1
630,1
332,0
720,0
297,1
636,0
209,1
92,0
652,1
187,0
572,1
431,1
523,1
259,1
328,1
411,1
519,1
691,0
610,0
125,0
80,0
578,1
489,1
557,0
421,0
142,0
602,1
151,1
241,1
345,1
574,1
138,0
708,0
152,1
387,0
758,0
587,0
370,0
564,0
310,0
402,1
166,0
576,1
628,1
528,0
258,0
550,1
385,0
630,1
670,0
362,0
186,0
448,0
354,1
255,0
734,0
437,1
184,1
511,0
213,1
174,0
660,1
127,1
153,1
716,0
152,0
89,0
255,0
748,1
261,0
133,0
749,0
154,1
416,0
503,0
528,0
259,0
519,1
98,0
184,1
462,1
712,0
349,1
569,0
208,1
599,1
738,0
77,0
699,0
676,0
133,0
432,1
682,0
659,1
602,1
716,1
455,0
16,0
204,1
630,1
748,0
302,1
658,1
748,0
488,0
85,0
755,0
685,1
573,1
627,1
780,0
350,1
83,0
455,1
492,1
484,0
306,0
614,0
408,1
562,0
420,0
550,1
603,0
519,1
327,1
271,1
353,1
492,1
672,0
454,1
760,0
236,0
377,1
600,1
488,1
575,1
326,1
561,0
572,1
510,1
235,1
539,1
293,1
652,1
656,1
571,1
774,0
576,0
129,1
370,0
601,1
623,1
486,1
340,0
419,0
209,1
615,0
405,0
144,0
537,1
119,0
775,0
255,1
157,1
350,1
577,1
663,1
196,0
270,1
489,1
159,0
490,0
306,0
610,0
210,1
355,1
439,0
589,0
67,0
569,1
411,1
771,0
375,1
592,0
600,1
432,1
146,0
573,1
694,0
489,1
55,0
586,0
325,1
621,0
568,1
403,0
372,1
378,1
216,0
551,0
606,1
728,0
91,0
49,0
721,0
267,1
349,1
518,1
2,0
187,0
526,0
393,0
468,0
126,0
17,0
620,0
55,0
647,0
381,0
210,1
373,0
487,0
350,1
318,1
350,1
516,1
366,0
436,1
690,0
691,0
294,0
470,0
403,1
44,0
323,0
537,0
383,1
595,1
518,0
209,1
566,1
609,0
701,0
268,0
576,1
403,0
125,1
211,1
173,1
425,1
206,0
729,0
20,0
31,0
117,0
530,0
347,1
210,1
513,1
246,1
359,0
288,0
83,0
61,0
605,1
486,1
16,0
570,1
288,1
319,1
596,0
624,1
442,1
626,1
430,1
107,0
717,0
463,1
331,0
720,0
696,0
405,1
405,1
257,0
433,1
432,1
717,0
628,1
191,0
455,1
399,0
193,1
104,1
509,1
729,0
761,0
324,1
402,1
463,1
45,0
406,1
677,0
383,1
262,1
623,1
327,1
269,1
621,1
237,1
198,0
457,0
210,1
353,1
321,1
184,1
237,1
291,1
546,1
465,1
301,1
158,1
292,1
212,1
407,1
394,1
518,1
222,0
494,0
430,0
539,0
272,0
702,0
563,0
343,0
603,1
69,0
292,1
40,0
405,1
349,1
679,1
298,1
316,1
560,0
72,0
573,1
324,1
208,1
467,0
454,0
29,0
319,1
755,0
675,0
502,0
718,0
364,0
761,0
578,1
353,1
401,1
363,0
129,0
654,1
396,0
84,0
193,0
682,1
180,1
529,0
165,0
214,1
460,1
508,1
433,1
333,0
764,0
324,1
517,1
460,0
571,1
61,0
6,0
692,0
338,0
664,0
60,0
326,1
146,0
601,1
84,0
236,1
477,0
346,1
758,0
116,0
33,0
468,1
158,0
648,0
484,1
355,1
437,1
653,1
639,0
275,0
303,0
613,0
382,1
43,0
676,0
15,0
602,1
376,1
601,1
696,0
466,1
233,1
599,1
383,1
602,1
266,0
369,0
431,1
394,0
184,0
203,0
539,1
566,1
214,1
517,1
568,1
680,0
407,1
60,0
494,1
71,0
348,1
6,0
622,0
571,1
127,0
406,0
85,0
237,1
464,1
392,0
263,1
22,0
493,1
493,1
309,0
633,1
113,0
388,0
216,1
126,1
338,0
572,1
578,1
738,0
653,1
328,0
521,1
665,0
593,0
514,0
737,1
543,1
763,0
658,0
152,0
381,1
398,1
600,1
68,0
137,0
557,0
665,1
379,1
165,0
184,1
562,0
755,0
775,0
135,0
581,0
267,1
243,1
317,1
572,1
666,0
546,1
392,0
60,0
270,1
544,1
475,0
206,1
407,1
331,0
380,1
182,1
240,1
512,1
268,1
56,0
653,0
718,0
333,0
770,0
84,0
152,1
461,1
602,1
163,0
530,0
83,0
36,0
322,1
264,1
126,1
125,1
364,0
294,0
523,1
700,0
409,1
713,1
151,1
106,0
95,0
551,0
538,0
623,1
550,1
382,1
41,0
433,1
455,0
638,0
326,1
492,1
297,1
400,0
157,1
332,0
454,0
462,1
578,1
555,0
38,0
407,1
289,1
468,0
613,0
261,0
210,1
498,1
376,0
435,1
0,0
627,1
660,1
376,1
696,0
325,1
393,0
546,1
372,1
743,0
435,1
172,0
373,1
538,1
602,1
139,0
583,0
596,0
532,0
205,1
121,0
542,1
183,1
738,0
519,1
251,0
206,0
584,0
26,0
290,1
136,0
418,0
692,0
649,0
173,0
177,1
548,1
534,0
434,1
346,0
604,1
308,0
717,0
475,0
274,0
182,1
739,0
594,0
568,1
520,1
522,1
581,0
426,1
379,1
576,1
679,0
712,1
210,1
73,0
655,1
252,0
441,1
162,0
710,1
549,1
402,1
520,1
467,1
612,0
399,1
433,1
513,0
626,1
430,0
515,1
270,1
726,0
316,1
541,1
54,0
657,1
10,0
409,1
398,1
502,0
213,1
125,1
404,1
292,1
72,0
54,0
68,0
132,0
631,0
277,0
377,1
310,1
186,1
361,0
683,0
608,0
58,0
431,1
272,1
432,1
458,1
441,1
764,0
44,0
390,0
482,0
205,1
515,1
547,1
570,1
40,0
333,0
437,0
703,0
269,1
50,0
213,1
64,0
723,0
437,1
632,1
461,0
13,0
610,0
410,1
694,0
627,1
518,0
122,1
626,1
349,1
628,1
435,1
626,1
649,0
144,0
323,1
264,1
184,0
169,0
294,1
758,0
415,0
112,0
423,0
564,1
405,1
570,1
172,0
405,0
265,1
254,0
626,1
317,1
246,1
159,0
731,0
72,1
201,0
23,0
603,1
4,0
731,0
290,1
432,1
273,1
779,0
2,0
600,0
599,1
14,0
769,0
26,0
457,1
377,1
600,0
103,0
19,0
600,1
109,0
156,0
355,1
183,1
774,0
524,1
86,0
175,1
653,1
249,0
378,0
612,0
475,0
592,0
244,1
93,0
280,0
324,1
52,0
629,1
27,0
382,1
447,0
496,1
210,1
76,0
481,0
510,1
184,1
204,0
679,0
124,0
465,1
565,0
717,0
777,0
115,0
296,0
510,1
123,0
202,0
480,0
364,0
302,1
349,1
143,0
446,0
550,1
129,1
391,0
555,0
328,1
13,0
576,1
408,1
335,0
548,1
525,1
764,0
488,0
462,1
484,1
431,1
212,1
186,1
272,0
583,0
264,1
412,1
290,1
383,1
241,0
379,1
436,1
491,1
404,1
157,1
181,0
395,0
447,0
468,1
542,1
269,1
526,0
176,0
607,1
573,1
564,0
250,0
184,0
166,0
519,1
369,1
692,0
432,1
538,1
571,1
327,1
486,0
383,0
653,1
422,0
375,1
74,0
329,0
399,1
523,1
189,1
162,0
316,0
183,1
657,1
253,0
322,1
627,1
433,1
380,1
237,1
259,1
433,1
563,0
431,1
432,1
614,0
548,1
371,1
404,1
84,0
320,1
701,0
480,0
652,0
36,0
269,1
670,0
489,1
402,0
156,1
211,1
383,0
81,0
703,0
215,1
53,0
493,0
545,0
364,0
213,1
299,1
303,0
322,1
91,0
207,0
468,0
349,1
632,1
389,0
131,1
80,0
245,0
374,1
602,1
642,0
177,0
502,0
352,1
220,0
389,0
462,1
252,0
143,0
405,1
436,0
243,1
201,0
184,1
723,0
379,1
645,0
524,1
407,1
109,0
206,1
272,1
520,1
205,1
544,1
186,1
176,0
275,1
126,1
411,1
13,0
642,0
543,1
370,1
291,1
627,0
680,1
256,0
409,1
318,1
588,0
489,1
489,1
683,1
28,0
203,1
570,1
150,1
401,0
682,1
438,1
241,0
402,1
331,1
334,0
267,1
730,0
764,0
215,1
555,0
213,1
733,0
182,1
326,1
142,0
688,0
152,0
602,1
401,1
640,0
347,0
267,1
290,1
621,0
530,0
684,1
74,1
325,1
401,0
239,1
751,0
11,0
569,1
601,1
442,0
82,0
572,1
551,1
246,1
382,1
768,0
40,0
518,1
338,0
456,0
628,1
628,1
400,0
491,1
571,0
547,1
410,1
740,0
267,1
449,0
209,1
13,0
323,0
285,0
412,0
408,0
407,1
668,0
97,1
471,0
88,0
596,1
8,0
725,0
603,1
426,0
457,1
297,1
124,0
243,1
291,1
628,1
463,0
290,0
551,0
269,1
285,0
658,1
665,0
437,1
35,0
482,0
488,1
569,1
630,1
189,1
276,0
522,0
425,0
285,0
611,0
175,0
316,1
584,0
422,0
529,0
616,0
75,0
430,1
234,0
547,1
517,1
369,0
403,0
566,0
546,1
50,0
463,1
238,1
571,1
466,1
378,1
782,0
245,1
549,1
4,0
468,0
317,1
669,0
267,0
462,1
215,1
620,0
522,1
210,1
545,1
484,1
690,0
489,1
42,0
189,0
153,0
493,1
465,1
208,0
341,0
531,0
178,1
143,0
237,1
324,1
546,1
50,0
748,0
198,0
547,0
177,1
491,1
433,1
458,1
395,0
539,1
708,0
741,0
518,1
128,1
213,1
380,1
350,1
205,0
754,0
271,1
354,1
600,1
423,0
674,0
150,1
382,1
662,1
411,0
601,1
593,0
433,1
437,1
346,1
158,0
567,1
728,0
561,0
299,0
144,0
128,0
619,0
205,0
51,0
477,0
489,1
323,1
551,1
303,0
539,1
198,0
468,1
669,0
237,0
459,1
624,0
622,1
160,0
521,1
576,1
677,0
273,0
430,1
486,1
765,0
67,0
298,1
517,1
479,0
267,1
604,1
672,0
430,1
552,1
449,0
376,0
214,1
402,1
380,1
382,0
683,1
517,1
406,0
464,0
240,1
380,1
491,1
779,0
683,1
150,0
571,1
133,0
544,1
657,1
386,0
683,0
653,1
600,1
266,1
329,0
543,1
621,0
780,0
485,0
392,0
180,1
554,0
410,1
256,0
456,1
434,1
326,1
235,1
434,1
465,1
290,1
223,0
13,0
320,1
775,0
684,1
676,0
388,0
230,0
376,1
456,0
348,1
411,1
243,1
659,1
1,0
403,1
655,0
380,1
264,1
232,1
263,1
299,0
184,1
680,1
256,0
346,0
465,1
546,1
156,1
633,1
437,0
311,0
422,0
206,1
103,0
773,0
291,1
208,1
272,1
352,1
67,0
181,0
489,1
108,0
436,1
377,1
325,1
569,1
380,1
756,0
627,1
268,1
493,0
742,0
478,0
